,2008,2009
New Zealand,9.40,9.30
Denmark,9.30,9.30
Sweden,9.20,9.20
Singapore,9.20,9.30
Switzerland,9.00,8.70
Finland,8.90,9.20
Netherlands,8.90,8.80
Iceland,8.70,8.50
Canada,8.70,8.90
Australia,8.70,8.70
Norway,8.60,8.60
Luxembourg,8.20,8.50
"Hong Kong, China",8.20,8.40
Ireland,8.00,8.00
Germany,8.00,7.90
Austria,7.90,7.90
United Kingdom,7.70,7.60
Japan,7.70,7.80
United States,7.50,7.10
Barbados,7.40,7.80
Belgium,7.10,7.10
Saint Lucia,7.00,
Qatar,7.00,7.70
France,6.90,6.80
Uruguay,6.70,6.90
Chile,6.70,7.20
Estonia,6.60,6.50
Slovenia,6.60,6.40
Cyprus,6.60,6.30
United Arab Emirates,6.50,6.30
Saint Vincent and the Grenadines,6.40,
Israel,6.10,6.10
Spain,6.10,6.10
Dominica,5.90,5.20
Portugal,5.80,6.00
Puerto Rico,5.80,5.80
Botswana,5.60,5.80
Taiwan,5.60,5.80
Brunei,5.50,5.50
Brunei Darussalam,5.50,
Oman,5.50,5.30
Mauritius,5.40,5.40
Costa Rica,5.30,5.30
"Macau, China",5.30,5.00
Malta,5.20,5.60
Cape Verde,5.10,5.10
Bahrain,5.10,4.90
Hungary,5.10,4.70
Jordan,5.00,4.70
Poland,5.00,5.30
Bhutan,5.00,5.70
Czech Republic,4.90,4.60
Lithuania,4.90,5.00
Seychelles,4.80,4.80
South Africa,4.70,4.50
Samoa,4.50,4.10
Malaysia,4.50,4.40
Namibia,4.50,4.40
Latvia,4.50,4.30
Slovakia,4.50,4.30
Turkey,4.40,4.40
Cuba,4.40,3.70
Saudi Arabia,4.30,4.70
Italy,4.30,3.90
Tunisia,4.20,4.30
Kuwait,4.10,4.50
Georgia,4.10,3.80
Croatia,4.10,4.10
Montenegro,3.90,3.70
Ghana,3.90,4.10
Romania,3.80,3.70
Bulgaria,3.80,3.60
"Macedonia, FYR",3.80,4.10
Greece,3.80,3.50
Colombia,3.70,3.50
Suriname,3.70,
Peru,3.70,3.50
Brazil,3.70,3.70
Swaziland,3.60,3.20
Trinidad and Tobago,3.60,3.60
Burkina Faso,3.60,3.10
China,3.60,3.50
Serbia,3.50,3.50
Thailand,3.40,3.50
Guatemala,3.40,3.20
Panama,3.40,3.60
India,3.40,3.30
El Salvador,3.40,3.60
Morocco,3.30,3.40
Rwanda,3.30,4.00
Lesotho,3.30,3.50
Malawi,3.30,3.40
Mexico,3.30,3.10
Moldova,3.30,2.90
Albania,3.20,3.30
Vanuatu,3.20,3.60
Liberia,3.10,3.30
Sri Lanka,3.10,3.20
Jamaica,3.00,3.30
Madagascar,3.00,2.60
Senegal,3.00,2.90
Tonga,3.00,3.00
Zambia,3.00,3.00
Bosnia and Herzegovina,3.00,3.20
Dominican Republic,3.00,3.00
Niger,2.90,2.60
Benin,2.90,2.80
Argentina,2.90,2.90
Gabon,2.90,2.80
Gambia,2.90,3.20
Djibouti,2.80,3.20
Egypt,2.80,3.10
Indonesia,2.80,2.80
Kiribati,2.80,3.20
Mali,2.80,2.70
Sao Tome and Principe,2.80,3.00
Solomon Islands,2.80,2.80
Togo,2.80,2.40
Algeria,2.80,2.90
Mongolia,2.70,2.70
Armenia,2.70,2.60
Ethiopia,2.70,2.70
Bolivia,2.70,2.80
Kazakhstan,2.70,2.90
Vietnam,2.70,2.70
Syria,2.60,2.50
Tanzania,2.60,2.70
Guyana,2.60,2.70
Eritrea,2.60,2.60
Mauritania,2.50,2.30
Mozambique,2.50,2.70
Nicaragua,2.50,2.50
Nigeria,2.50,2.40
Uganda,2.50,2.50
Honduras,2.50,2.40
Lebanon,2.50,2.50
Libya,2.50,2.20
Maldives,2.50,2.30
Pakistan,2.40,2.30
Bangladesh,2.40,2.40
Belarus,2.40,2.50
Philippines,2.40,2.40
Azerbaijan,2.30,2.40
Comoros,2.30,2.10
Nepal,2.30,2.20
Kenya,2.20,2.10
Russia,2.20,2.10
Sierra Leone,2.20,2.40
Timor-Leste,2.20,2.50
Ukraine,2.20,2.40
Zimbabwe,2.20,2.40
Cameroon,2.20,2.20
Ecuador,2.20,2.50
Cote d'Ivoire,2.10,2.20
Paraguay,2.10,2.20
Papua New Guinea,2.10,2.10
Yemen,2.10,2.20
Central African Republic,2.00,2.10
Tajikistan,2.00,2.10
Laos,2.00,2.10
Cambodia,2.00,2.10
Guinea-Bissau,1.90,2.10
Kyrgyzstan,1.90,2.00
Venezuela,1.90,2.00
Angola,1.90,1.90
"Congo, Rep.",1.90,2.10
"Congo, Dem. Rep.",1.90,2.00
Turkmenistan,1.80,1.60
Haiti,1.80,2.20
Equatorial Guinea,1.80,1.90
Burundi,1.80,1.80
Guinea,1.80,2.00
Iran,1.80,2.20
Uzbekistan,1.70,1.60
Chad,1.60,1.70
Sudan,1.50,1.60
Iraq,1.50,1.50
Myanmar,1.40,1.40
Afghanistan,1.30,1.40
Somalia,1.10,1.10